ID,Week,Environment,Generation,N0,Census,Person,Setup.Order,Addition,Last.addition,Proportion.new
111,35,0.95,1,10,4,MJK,12,10,10,1
112,35,0.95,1,10,1,MJK,12,10,10,1
113,35,0.95,1,10,5,MJK,12,10,10,1
114,35,0.95,1,10,7,MJK,12,10,10,1
115,35,0.95,1,10,4,MJK,12,0,10,1
116,35,0.95,1,10,5,MJK,12,0,10,1
117,35,0.95,1,10,5,MJK,12,0,10,1
118,35,0.95,1,10,10,MJK,12,0,10,1
119,35,0.95,1,10,10,MJK,12,0,10,1
120,35,0.95,1,10,8,MJK,12,0,10,1
121,35,0.857,1,5,10,MJK,13,5,5,1
122,35,0.765,1,5,6,MJK,13,5,5,1
123,35,1.32,1,5,2,MJK,13,5,5,1
124,35,0.765,1,5,5,MJK,13,5,5,1
125,35,0.857,1,5,5,MJK,13,5,5,1
126,35,1.135,1,5,2,MJK,13,5,5,1
127,35,0.672,1,5,13,MJK,13,5,5,1
128,35,1.042,1,5,0,MJK,13,5,5,1
129,35,0.857,1,5,4,MJK,13,5,5,1
130,35,0.765,1,5,2,MJK,13,5,5,1
131,35,0.672,1,5,1,MFO,14,5,5,1
132,35,0.765,1,5,13,MFO,14,5,5,1
133,35,0.672,1,5,0,MFO,14,5,5,1
134,35,0.58,1,5,4,MFO,14,5,5,1
135,35,0.95,1,5,4,MFO,14,5,5,1
136,35,1.32,1,5,0,MFO,14,5,5,1
137,35,1.042,1,5,0,MFO,14,5,5,1
138,35,0.672,1,5,0,MFO,14,5,5,1
139,35,1.32,1,5,0,MFO,14,5,5,1
140,35,1.135,1,5,3,MFO,14,5,5,1
141,35,1.32,1,5,2,MFO,15,5,5,1
142,35,1.228,1,5,6,MFO,15,5,5,1
143,35,0.95,1,5,1,MFO,15,5,5,1
144,35,0.95,1,5,10,MFO,15,0,5,1
145,35,0.95,1,5,2,MFO,15,0,5,1
146,35,0.857,1,5,0,MFO,15,5,5,1
147,35,1.228,1,5,4,MFO,15,0,5,1
148,35,1.042,1,5,2,MFO,15,0,5,1
149,35,0.58,1,5,4,MFO,15,0,5,1
150,35,0.765,1,5,4,MFO,15,0,5,1
151,35,0.95,1,5,13,MFO,16,5,5,1
152,35,0.95,1,5,2,MFO,16,5,5,1
153,35,0.95,1,5,0,MFO,16,5,5,1
154,35,0.95,1,5,3,MFO,16,5,5,1
155,35,0.95,1,5,3,MFO,16,5,5,1
156,35,0.95,1,5,3,MFO,16,5,5,1
157,35,0.95,1,5,10,MFO,16,5,5,1
158,35,0.95,1,5,12,MFO,16,5,5,1
159,35,0.95,1,5,3,MFO,16,5,5,1
160,35,0.95,1,5,4,MFO,16,5,5,1
161,35,0.95,1,5,0,MJK,17,5,5,1
162,35,0.95,1,5,4,MJK,17,5,5,1
163,35,0.95,1,5,6,MJK,17,5,5,1
164,35,0.95,1,5,2,MJK,17,5,5,1
165,35,0.95,1,5,2,MJK,17,5,5,1
166,35,0.95,1,5,8,MJK,17,5,5,1
167,35,0.95,1,5,6,MJK,17,5,5,1
168,35,0.95,1,5,0,MJK,17,5,5,1
169,35,0.95,1,5,5,MJK,17,5,5,1
170,35,0.95,1,5,0,MJK,17,5,5,1
171,35,0.95,1,5,2,MJK,18,5,5,1
172,35,0.95,1,5,4,MJK,18,5,5,1
173,35,0.95,1,5,2,MJK,18,5,5,1
174,35,0.95,1,5,7,MJK,18,5,5,1
175,35,0.95,1,5,10,MJK,18,5,5,1
176,35,0.95,1,5,13,MJK,18,5,5,1
177,35,0.95,1,5,6,MJK,18,0,5,1
178,35,0.95,1,5,0,MJK,18,5,5,1
179,35,0.95,1,5,1,MJK,18,5,5,1
180,35,0.95,1,5,6,MJK,18,0,5,1
181,35,0.857,1,4,2,MJK,19,4,4,1
182,35,0.58,1,4,0,MJK,19,4,4,1
183,35,1.228,1,4,1,MJK,19,4,4,1
184,35,0.857,1,4,2,MJK,19,4,4,1
185,35,0.672,1,4,3,MJK,19,4,4,1
186,35,1.228,1,4,0,MJK,19,4,4,1
187,35,0.672,1,4,0,MJK,19,4,4,1
188,35,1.32,1,4,1,MJK,19,4,4,1
189,35,0.857,1,4,0,MJK,19,4,4,1
190,35,1.32,1,4,8,MJK,19,4,4,1
191,35,0.857,1,4,1,MJK,20,4,4,1
192,35,1.135,1,4,3,MJK,20,4,4,1
193,35,1.135,1,4,0,MJK,20,4,4,1
194,35,0.95,1,4,4,MJK,20,4,4,1
195,35,0.857,1,4,1,MJK,20,4,4,1
196,35,1.042,1,4,2,MJK,20,4,4,1
197,35,0.95,1,4,0,MJK,20,4,4,1
198,35,1.135,1,4,3,MJK,20,4,4,1
199,35,0.857,1,4,13,MJK,20,4,4,1
200,35,1.135,1,4,3,MJK,20,4,4,1
201,35,0.95,1,4,0,MJK,21,4,4,1
202,35,1.135,1,4,1,MJK,21,4,4,1
203,35,0.58,1,4,5,MJK,21,4,4,1
204,35,0.95,1,4,0,MJK,21,4,4,1
205,35,0.857,1,4,8,MJK,21,4,4,1
206,35,0.857,1,4,3,MJK,21,4,4,1
207,35,1.228,1,4,7,MJK,21,4,4,1
208,35,1.32,1,4,0,MJK,21,4,4,1
209,35,1.32,1,4,2,MJK,21,4,4,1
210,35,1.042,1,4,0,MJK,21,4,4,1
211,35,0.95,1,4,0,MFO,22,4,4,1
212,35,0.95,1,4,0,MFO,22,4,4,1
213,35,0.95,1,4,5,MFO,22,4,4,1
214,35,0.95,1,4,0,MFO,22,4,4,1
215,35,0.95,1,4,5,MFO,22,4,4,1
216,35,0.95,1,4,0,MFO,22,4,4,1
217,35,0.95,1,4,4,MFO,22,4,4,1
218,35,0.95,1,4,0,MFO,22,4,4,1
219,35,0.95,1,4,0,MFO,22,4,4,1
220,35,0.95,1,4,0,MFO,22,4,4,1
221,35,0.95,1,4,4,MFO,23,4,4,1
222,35,0.95,1,4,9,MFO,23,4,4,1
223,35,0.95,1,4,0,MFO,23,4,4,1
224,35,0.95,1,4,0,MFO,23,4,4,1
225,35,0.95,1,4,5,MFO,23,4,4,1
226,35,0.95,1,4,0,MFO,23,4,4,1
227,35,0.95,1,4,1,MFO,23,4,4,1
228,35,0.95,1,4,4,MFO,23,4,4,1
229,35,0.95,1,4,4,MFO,23,4,4,1
230,35,0.95,1,4,6,MFO,23,4,4,1
231,35,0.95,1,4,1,MFO,24,4,4,1
232,35,0.95,1,4,8,MFO,24,4,4,1
233,35,0.95,1,4,0,MFO,24,4,4,1
234,35,0.95,1,4,0,MFO,24,4,4,1
235,35,0.95,1,4,2,MFO,24,4,4,1
236,35,0.95,1,4,10,MFO,24,4,4,1
237,35,0.95,1,4,8,MFO,24,4,4,1
238,35,0.95,1,4,7,MFO,24,4,4,1
239,35,0.95,1,4,2,MFO,24,4,4,1
240,35,0.95,1,4,5,MFO,24,4,4,1
241,35,0.765,1,20,24,MJK,1,0,20,1
242,35,1.042,1,20,27,MJK,1,0,20,1
243,35,1.135,1,20,11,MJK,1,0,20,1
244,35,1.32,1,20,18,MJK,1,0,20,1
245,35,0.857,1,20,4,MJK,1,0,20,1
246,35,0.765,1,20,11,MJK,1,0,20,1
247,35,1.228,1,20,3,MJK,1,0,20,1
248,35,1.042,1,20,16,MJK,1,0,20,1
249,35,1.228,1,20,13,MJK,1,0,20,1
250,35,1.32,1,20,13,MJK,1,0,20,1
251,35,0.95,1,20,6,MJK,2,0,20,1
252,35,0.95,1,20,12,MJK,2,0,20,1
253,35,0.95,1,20,2,MJK,2,0,20,1
254,35,0.765,1,20,6,MJK,2,0,20,1
255,35,0.672,1,20,7,MJK,2,0,20,1
256,35,1.228,1,20,23,MJK,2,0,20,1
257,35,1.042,1,20,21,MJK,2,0,20,1
258,35,1.135,1,20,7,MJK,2,0,20,1
259,35,1.135,1,20,9,MJK,2,0,20,1
260,35,1.32,1,20,6,MJK,2,0,20,1
261,35,0.672,1,20,15,MFO,3,5,20,1
262,35,1.135,1,20,9,MFO,3,5,20,1
263,35,0.765,1,20,17,MFO,3,5,20,1
264,35,0.857,1,20,17,MFO,3,5,20,1
265,35,1.042,1,20,13,MFO,3,5,20,1
266,35,1.042,1,20,11,MFO,3,5,20,1
267,35,0.765,1,20,12,MFO,3,0,20,1
268,35,1.228,1,20,9,MFO,3,0,20,1
269,35,0.765,1,20,26,MFO,3,0,20,1
270,35,1.32,1,20,14,MFO,3,0,20,1
271,35,0.95,1,20,24,MFO,4,0,20,1
272,35,0.95,1,20,19,MFO,4,0,20,1
273,35,0.95,1,20,8,MFO,4,0,20,1
274,35,0.95,1,20,12,MFO,4,0,20,1
275,35,0.95,1,20,19,MFO,4,0,20,1
276,35,0.95,1,20,7,MFO,4,0,20,1
277,35,0.95,1,20,13,MFO,4,0,20,1
278,35,0.95,1,20,16,MFO,4,0,20,1
279,35,0.95,1,20,11,MFO,4,0,20,1
280,35,0.95,1,20,,MFO,4,0,20,1
281,35,0.95,1,20,7,MFO,5,0,20,1
282,35,0.95,1,20,6,MFO,5,0,20,1
283,35,0.95,1,20,9,MFO,5,0,20,1
284,35,0.95,1,20,5,MFO,5,0,20,1
285,35,0.95,1,20,27,MFO,5,0,20,1
286,35,0.95,1,20,10,MFO,5,0,20,1
287,35,0.95,1,20,12,MFO,5,0,20,1
288,35,0.95,1,20,9,MFO,5,0,20,1
289,35,0.95,1,20,1,MFO,5,0,20,1
290,35,0.95,1,20,5,MFO,5,0,20,1
291,35,0.95,1,20,17,MFO,6,0,20,1
292,35,0.95,1,20,16,MFO,6,0,20,1
293,35,0.95,1,20,5,MFO,6,0,20,1
294,35,0.95,1,20,13,MFO,6,0,20,1
295,35,0.95,1,20,7,MFO,6,0,20,1
296,35,0.95,1,20,9,MFO,6,0,20,1
297,35,0.95,1,20,14,MFO,6,0,20,1
298,35,0.95,1,20,9,MFO,6,0,20,1
299,35,0.95,1,20,6,MFO,6,0,20,1
300,35,0.95,1,20,28,MFO,6,0,20,1
301,35,1.32,1,10,10,MJK,7,10,10,1
302,35,1.042,1,10,6,MJK,7,10,10,1
303,35,1.042,1,10,1,MJK,7,10,10,1
304,35,0.765,1,10,2,MJK,7,10,10,1
305,35,0.672,1,10,13,MJK,7,10,10,1
306,35,0.95,1,10,2,MJK,7,10,10,1
307,35,0.95,1,10,10,MJK,7,0,10,1
308,35,1.135,1,10,5,MJK,7,0,10,1
309,35,1.228,1,10,11,MJK,7,0,10,1
310,35,1.042,1,10,13,MJK,7,0,10,1
311,35,1.042,1,10,10,MJK,8,10,10,1
312,35,0.672,1,10,13,MJK,8,10,10,1
313,35,0.95,1,10,1,MJK,8,10,10,1
314,35,0.58,1,10,5,MJK,8,10,10,1
315,35,1.32,1,10,10,MJK,8,10,10,1
316,35,0.857,1,10,10,MJK,8,10,10,1
317,35,1.32,1,10,17,MJK,8,0,10,1
318,35,1.135,1,10,5,MJK,8,0,10,1
319,35,1.228,1,10,6,MJK,8,0,10,1
320,35,1.32,1,10,4,MJK,8,0,10,1
321,35,1.042,1,10,1,MJK,9,10,10,1
322,35,1.135,1,10,14,MJK,9,10,10,1
323,35,1.135,1,10,6,MJK,9,10,10,1
324,35,0.672,1,10,2,MJK,9,10,10,1
325,35,1.042,1,10,11,MJK,9,10,10,1
326,35,0.95,1,10,3,MJK,9,10,10,1
327,35,1.32,1,10,17,MJK,9,10,10,1
328,35,1.042,1,10,2,MJK,9,0,10,1
329,35,1.135,1,10,10,MJK,9,0,10,1
330,35,0.672,1,10,5,MJK,9,0,10,1
331,35,0.95,1,10,8,MJK,10,10,10,1
332,35,0.95,1,10,3,MJK,10,10,10,1
333,35,0.95,1,10,8,MJK,10,10,10,1
334,35,0.95,1,10,10,MJK,10,10,10,1
335,35,0.95,1,10,7,MJK,10,10,10,1
336,35,0.95,1,10,12,MJK,10,10,10,1
337,35,0.95,1,10,3,MJK,10,0,10,1
338,35,0.95,1,10,7,MJK,10,0,10,1
339,35,0.95,1,10,5,MJK,10,0,10,1
340,35,0.95,1,10,2,MJK,10,0,10,1
341,35,0.95,1,10,0,MFO,11,10,10,1
342,35,0.95,1,10,4,MFO,11,10,10,1
343,35,0.95,1,10,8,MFO,11,10,10,1
344,35,0.95,1,10,6,MFO,11,10,10,1
345,35,0.95,1,10,2,MFO,11,10,10,1
346,35,0.95,1,10,0,MFO,11,10,10,1
347,35,0.95,1,10,3,MFO,11,0,10,1
348,35,0.95,1,10,2,MFO,11,0,10,1
349,35,0.95,1,10,11,MFO,11,0,10,1
350,35,0.95,1,10,2,MFO,11,0,10,1
351,35,0.95,1,10,0,MFO,12,10,10,1
352,35,0.95,1,10,9,MFO,12,10,10,1
353,35,0.95,1,10,2,MFO,12,10,10,1
354,35,0.95,1,10,9,MFO,12,10,10,1
355,35,0.95,1,10,9,MFO,12,10,10,1
356,35,0.95,1,10,0,MFO,12,10,10,1
357,35,0.95,1,10,2,MFO,12,10,10,1
358,35,0.95,1,10,8,MFO,12,0,10,1
359,35,0.95,1,10,5,MFO,12,0,10,1
360,35,0.95,1,10,1,MFO,12,0,10,1
361,35,1.135,1,5,1,MFO,13,5,5,1
362,35,0.95,1,5,2,MFO,13,5,5,1
363,35,1.135,1,5,0,MFO,13,5,5,1
364,35,1.042,1,5,6,MFO,13,0,5,1
365,35,0.95,1,5,4,MFO,13,0,5,1
366,35,0.672,1,5,3,MFO,13,0,5,1
367,35,1.228,1,5,3,MFO,13,0,5,1
368,35,1.042,1,5,2,MFO,13,0,5,1
369,35,1.228,1,5,5,MFO,13,0,5,1
370,35,1.042,1,5,7,MFO,13,0,5,1
371,35,1.32,1,5,12,MJK,14,5,5,1
372,35,0.857,1,5,0,MJK,14,5,5,1
373,35,1.135,1,5,3,MJK,14,5,5,1
374,35,1.135,1,5,3,MJK,14,5,5,1
375,35,1.228,1,5,4,MJK,14,5,5,1
376,35,0.95,1,5,8,MJK,14,5,5,1
377,35,1.32,1,5,5,MJK,14,0,5,1
378,35,1.135,1,5,6,MJK,14,0,5,1
379,35,1.135,1,5,9,MJK,14,0,5,1
380,35,0.58,1,5,4,MJK,14,0,5,1
381,35,0.857,1,5,4,MFO,15,5,5,1
382,35,0.857,1,5,3,MFO,15,5,5,1
383,35,1.32,1,5,7,MFO,15,5,5,1
384,35,1.135,1,5,11,MFO,15,5,5,1
385,35,0.857,1,5,4,MFO,15,5,5,1
386,35,1.228,1,5,6,MFO,15,5,5,1
387,35,0.95,1,5,11,MFO,15,5,5,1
388,35,0.857,1,5,4,MFO,15,0,5,1
389,35,1.32,1,5,0,MFO,15,5,5,1
390,35,0.58,1,5,12,MFO,15,0,5,1
391,35,0.95,1,5,14,MJK,16,5,5,1
392,35,0.95,1,5,0,MJK,16,5,5,1
393,35,0.95,1,5,4,MJK,16,5,5,1
394,35,0.95,1,5,3,MJK,16,5,5,1
395,35,0.95,1,5,2,MJK,16,5,5,1
396,35,0.95,1,5,12,MJK,16,5,5,1
397,35,0.95,1,5,10,MJK,16,0,5,1
398,35,0.95,1,5,8,MJK,16,0,5,1
399,35,0.95,1,5,0,MJK,16,5,5,1
400,35,0.95,1,5,12,MJK,16,0,5,1
401,35,0.95,1,5,2,MFO,17,5,5,1
402,35,0.95,1,5,9,MFO,17,5,5,1
403,35,0.95,1,5,4,MFO,17,5,5,1
404,35,0.95,1,5,4,MFO,17,5,5,1
405,35,0.95,1,5,3,MFO,17,5,5,1
406,35,0.95,1,5,0,MFO,17,5,5,1
407,35,0.95,1,5,0,MFO,17,5,5,1
408,35,0.95,1,5,14,MFO,17,5,5,1
409,35,0.95,1,5,8,MFO,17,0,5,1
410,35,0.95,1,5,8,MFO,17,0,5,1
411,35,0.95,1,5,0,MJK,18,5,5,1
412,35,0.95,1,5,0,MJK,18,5,5,1
413,35,0.95,1,5,3,MJK,18,5,5,1
414,35,0.95,1,5,11,MJK,18,5,5,1
415,35,0.95,1,5,0,MJK,18,5,5,1
416,35,0.95,1,5,3,MJK,18,5,5,1
417,35,0.95,1,5,1,MJK,18,0,5,1
418,35,0.95,1,5,2,MJK,18,0,5,1
419,35,0.95,1,5,0,MJK,18,5,5,1
420,35,0.95,1,5,4,MJK,18,0,5,1
421,35,0.765,1,4,8,MJK,19,4,4,1
422,35,0.672,1,4,3,MJK,19,4,4,1
423,35,0.95,1,4,11,MJK,19,4,4,1
424,35,1.042,1,4,4,MJK,19,4,4,1
425,35,1.042,1,4,2,MJK,19,4,4,1
426,35,1.32,1,4,2,MJK,19,4,4,1
427,35,0.765,1,4,4,MJK,19,4,4,1
428,35,1.042,1,4,3,MJK,19,4,4,1
429,35,0.857,1,4,5,MJK,19,4,4,1
430,35,1.135,1,4,5,MJK,19,4,4,1
431,35,1.042,1,4,2,MJK,20,4,4,1
432,35,0.765,1,4,8,MJK,20,4,4,1
433,35,0.95,1,4,10,MJK,20,4,4,1
434,35,0.58,1,4,3,MJK,20,4,4,1
435,35,1.32,1,4,3,MJK,20,4,4,1
436,35,0.95,1,4,0,MJK,20,4,4,1
437,35,0.857,1,4,2,MJK,20,4,4,1
438,35,1.135,1,4,0,MJK,20,4,4,1
439,35,0.95,1,4,8,MJK,20,4,4,1
440,35,1.32,1,4,3,MJK,20,4,4,1
441,35,0.95,1,4,0,MJK,21,4,4,1
442,35,0.857,1,4,0,MJK,21,4,4,1
443,35,1.135,1,4,3,MJK,21,4,4,1
444,35,0.765,1,4,1,MJK,21,4,4,1
445,35,0.95,1,4,0,MJK,21,4,4,1
446,35,0.95,1,4,0,MJK,21,4,4,1
447,35,1.042,1,4,3,MJK,21,4,4,1
448,35,0.672,1,4,3,MJK,21,4,4,1
449,35,1.32,1,4,3,MJK,21,4,4,1
450,35,0.95,1,4,0,MJK,21,4,4,1
451,35,0.95,1,4,10,MFO,22,4,4,1
452,35,0.95,1,4,0,MFO,22,4,4,1
453,35,0.95,1,4,1,MFO,22,4,4,1
454,35,0.95,1,4,8,MFO,22,4,4,1
455,35,0.95,1,4,4,MFO,22,4,4,1
456,35,0.95,1,4,11,MFO,22,4,4,1
457,35,0.95,1,4,6,MFO,22,4,4,1
458,35,0.95,1,4,1,MFO,22,4,4,1
459,35,0.95,1,4,0,MFO,22,4,4,1
460,35,0.95,1,4,0,MFO,22,4,4,1
461,35,0.95,1,4,2,MJK,23,4,4,1
462,35,0.95,1,4,0,MJK,23,4,4,1
463,35,0.95,1,4,3,MJK,23,4,4,1
464,35,0.95,1,4,3,MJK,23,4,4,1
465,35,0.95,1,4,4,MJK,23,4,4,1
466,35,0.95,1,4,7,MJK,23,4,4,1
467,35,0.95,1,4,1,MJK,23,4,4,1
468,35,0.95,1,4,6,MJK,23,4,4,1
469,35,0.95,1,4,3,MJK,23,4,4,1
470,35,0.95,1,4,0,MJK,23,4,4,1
471,35,0.95,1,4,5,MFO,24,4,4,1
472,35,0.95,1,4,0,MFO,24,4,4,1
473,35,0.95,1,4,4,MFO,24,4,4,1
474,35,0.95,1,4,0,MFO,24,4,4,1
475,35,0.95,1,4,10,MFO,24,4,4,1
476,35,0.95,1,4,0,MFO,24,4,4,1
477,35,0.95,1,4,2,MFO,24,4,4,1
478,35,0.95,1,4,3,MFO,24,4,4,1
479,35,0.95,1,4,18,MFO,24,4,4,1
480,35,0.95,1,4,0,MFO,24,4,4,1
481,36,1.32,1,20,20,CDW,1,0,20,1
482,36,0.672,1,20,11,CDW,1,0,20,1
483,36,1.32,1,20,24,CDW,1,0,20,1
484,36,0.58,1,20,16,CDW,1,0,20,1
485,36,0.58,1,20,9,CDW,1,0,20,1
486,36,1.32,1,20,16,CDW,1,0,20,1
487,36,1.32,1,20,16,CDW,1,0,20,1
488,36,0.765,1,20,21,CDW,1,0,20,1
489,36,0.95,1,20,20,CDW,1,0,20,1
490,36,0.765,1,20,8,CDW,1,0,20,1
491,36,0.857,1,20,17,CDW,2,0,20,1
492,36,0.95,1,20,17,CDW,2,0,20,1
493,36,1.32,1,20,9,CDW,2,0,20,1
494,36,1.042,1,20,9,CDW,2,0,20,1
495,36,1.32,1,20,15,CDW,2,0,20,1
496,36,0.765,1,20,14,CDW,2,0,20,1
497,36,1.228,1,20,13,CDW,2,0,20,1
498,36,1.228,1,20,5,CDW,2,0,20,1
499,36,0.672,1,20,7,CDW,2,0,20,1
500,36,0.765,1,20,17,CDW,2,0,20,1
501,36,1.32,1,20,15,CDW,3,0,20,1
502,36,0.672,1,20,17,CDW,3,0,20,1
503,36,0.672,1,20,7,CDW,3,0,20,1
504,36,1.228,1,20,12,CDW,3,0,20,1
505,36,1.32,1,20,7,CDW,3,0,20,1
506,36,1.228,1,20,14,CDW,3,0,20,1
507,36,0.58,1,20,32,CDW,3,0,20,1
508,36,1.228,1,20,13,CDW,3,0,20,1
509,36,0.95,1,20,16,CDW,3,0,20,1
510,36,1.135,1,20,11,CDW,3,0,20,1
511,36,0.95,1,20,14,MCC,4,0,20,1
512,36,0.95,1,20,12,MCC,4,0,20,1
513,36,0.95,1,20,12,MCC,4,0,20,1
514,36,0.95,1,20,29,MCC,4,0,20,1
515,36,0.95,1,20,18,MCC,4,0,20,1
516,36,0.95,1,20,9,MCC,4,0,20,1
517,36,0.95,1,20,12,MCC,4,0,20,1
518,36,0.95,1,20,11,MCC,4,0,20,1
519,36,0.95,1,20,23,MCC,4,0,20,1
520,36,0.95,1,20,10,MCC,4,0,20,1
521,36,0.95,1,20,11,MCC,5,0,20,1
522,36,0.95,1,20,24,MCC,5,0,20,1
523,36,0.95,1,20,14,MCC,5,0,20,1
524,36,0.95,1,20,13,MCC,5,0,20,1
525,36,0.95,1,20,16,MCC,5,0,20,1
526,36,0.95,1,20,14,MCC,5,0,20,1
527,36,0.95,1,20,16,MCC,5,0,20,1
528,36,0.95,1,20,22,MCC,5,0,20,1
529,36,0.95,1,20,10,MCC,5,0,20,1
530,36,0.95,1,20,14,MCC,5,0,20,1
531,36,0.95,1,20,11,MCC,6,0,20,1
532,36,0.95,1,20,10,MCC,6,0,20,1
533,36,0.95,1,20,19,MCC,6,0,20,1
534,36,0.95,1,20,16,MCC,6,0,20,1
535,36,0.95,1,20,14,MCC,6,0,20,1
536,36,0.95,1,20,6,MCC,6,0,20,1
537,36,0.95,1,20,19,MCC,6,0,20,1
538,36,0.95,1,20,15,MCC,6,0,20,1
539,36,0.95,1,20,14,MCC,6,0,20,1
