ID,block,color,number,size,environment,special,gap,notes,drought
44,1,blue,1,20,stable,FALSE,FALSE,,TRUE
45,1,blue,1,20,stable,FALSE,FALSE,,FALSE
46,1,blue,1,20,stable,FALSE,FALSE,,FALSE
47,1,blue,1,20,stable,FALSE,FALSE,,FALSE
48,1,blue,1,20,stable,FALSE,FALSE,,FALSE
49,1,blue,1,20,stable,FALSE,FALSE,,TRUE
50,1,blue,1,20,stable,FALSE,FALSE,,FALSE
51,1,blue,1,20,stable,FALSE,FALSE,,FALSE
52,1,blue,1,20,stable,FALSE,FALSE,,FALSE
53,1,blue,1,20,stable,FALSE,FALSE,,FALSE
54,1,blue,1,20,stable,FALSE,FALSE,,TRUE
55,1,blue,1,20,stable,FALSE,FALSE,,FALSE
56,1,blue,1,20,stable,FALSE,FALSE,,FALSE
57,1,blue,1,20,stable,FALSE,FALSE,,FALSE
58,1,blue,1,20,stable,FALSE,FALSE,,FALSE
59,1,blue,1,20,stable,FALSE,FALSE,,TRUE
60,1,blue,1,20,stable,FALSE,FALSE,,FALSE
61,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
62,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
63,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
64,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
65,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
66,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
67,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
68,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
69,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
70,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
71,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
72,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
73,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
74,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
75,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
76,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
77,1,blue,2,10,fluctuating,FALSE,FALSE,,FALSE
78,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
79,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
80,1,blue,2,10,fluctuating,FALSE,FALSE,,TRUE
81,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
82,1,blue,2,10,fluctuating,FALSE,TRUE,,TRUE
83,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
84,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
85,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
86,1,blue,2,10,fluctuating,FALSE,TRUE,,TRUE
87,1,blue,2,10,fluctuating,FALSE,TRUE,,TRUE
88,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
89,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
90,1,blue,2,10,fluctuating,FALSE,TRUE,,FALSE
91,1,blue,2,10,stable,FALSE,FALSE,,FALSE
92,1,blue,2,10,stable,FALSE,FALSE,,FALSE
93,1,blue,2,10,stable,FALSE,FALSE,,FALSE
94,1,blue,2,10,stable,FALSE,FALSE,,FALSE
95,1,blue,2,10,stable,FALSE,FALSE,,FALSE
96,1,blue,2,10,stable,FALSE,FALSE,,FALSE
97,1,blue,2,10,stable,FALSE,FALSE,,TRUE
98,1,blue,2,10,stable,FALSE,FALSE,,TRUE
99,1,blue,2,10,stable,FALSE,FALSE,,FALSE
100,1,blue,2,10,stable,FALSE,FALSE,,TRUE
101,1,blue,2,10,stable,FALSE,FALSE,,TRUE
102,1,blue,2,10,stable,FALSE,FALSE,,FALSE
103,1,blue,2,10,stable,FALSE,FALSE,,TRUE
104,1,blue,2,10,stable,FALSE,FALSE,,TRUE
105,1,blue,2,10,stable,FALSE,FALSE,,FALSE
106,1,blue,2,10,stable,FALSE,FALSE,,FALSE
107,1,blue,2,10,stable,FALSE,FALSE,,FALSE
108,1,blue,2,10,stable,FALSE,FALSE,,FALSE
109,1,blue,2,10,stable,FALSE,FALSE,,FALSE
110,1,blue,2,10,stable,FALSE,TRUE,,TRUE
111,1,blue,2,10,stable,FALSE,FALSE,,FALSE
112,1,blue,2,10,stable,FALSE,FALSE,,FALSE
113,1,blue,2,10,stable,FALSE,FALSE,,FALSE
114,1,blue,2,10,stable,FALSE,FALSE,,TRUE
115,1,blue,2,10,stable,FALSE,TRUE,,TRUE
116,1,blue,2,10,stable,FALSE,TRUE,,FALSE
117,1,blue,2,10,stable,FALSE,TRUE,,FALSE
118,1,blue,2,10,stable,FALSE,TRUE,,FALSE
119,1,blue,2,10,stable,FALSE,TRUE,,FALSE
120,1,blue,2,10,stable,FALSE,TRUE,,TRUE
121,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
122,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
123,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
124,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
125,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
126,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
127,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
128,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
129,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
130,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
131,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
132,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
133,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
134,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
135,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
136,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
137,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
138,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
139,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
140,1,blue,4,5,fluctuating,FALSE,FALSE,,TRUE
141,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
142,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
143,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
144,1,blue,4,5,fluctuating,FALSE,TRUE,,TRUE
145,1,blue,4,5,fluctuating,FALSE,TRUE,,TRUE
146,1,blue,4,5,fluctuating,FALSE,FALSE,,FALSE
147,1,blue,4,5,fluctuating,FALSE,TRUE,,FALSE
148,1,blue,4,5,fluctuating,FALSE,TRUE,,FALSE
149,1,blue,4,5,fluctuating,FALSE,TRUE,,FALSE
150,1,blue,4,5,fluctuating,FALSE,TRUE,,TRUE
151,1,blue,4,5,stable,FALSE,FALSE,,TRUE
152,1,blue,4,5,stable,FALSE,FALSE,,TRUE
153,1,blue,4,5,stable,FALSE,FALSE,,TRUE
154,1,blue,4,5,stable,FALSE,FALSE,,TRUE
155,1,blue,4,5,stable,FALSE,FALSE,,FALSE
156,1,blue,4,5,stable,FALSE,FALSE,,FALSE
157,1,blue,4,5,stable,FALSE,FALSE,,FALSE
158,1,blue,4,5,stable,FALSE,FALSE,,FALSE
159,1,blue,4,5,stable,FALSE,FALSE,,FALSE
160,1,blue,4,5,stable,FALSE,FALSE,,FALSE
161,1,blue,4,5,stable,FALSE,FALSE,,FALSE
162,1,blue,4,5,stable,FALSE,FALSE,,FALSE
163,1,blue,4,5,stable,FALSE,FALSE,,FALSE
164,1,blue,4,5,stable,FALSE,FALSE,,FALSE
165,1,blue,4,5,stable,FALSE,FALSE,,TRUE
166,1,blue,4,5,stable,FALSE,FALSE,,FALSE
167,1,blue,4,5,stable,FALSE,FALSE,,TRUE
168,1,blue,4,5,stable,FALSE,FALSE,,TRUE
169,1,blue,4,5,stable,FALSE,FALSE,,FALSE
170,1,blue,4,5,stable,FALSE,FALSE,,FALSE
171,1,blue,4,5,stable,FALSE,FALSE,,FALSE
172,1,blue,4,5,stable,FALSE,FALSE,,TRUE
173,1,blue,4,5,stable,FALSE,FALSE,,TRUE
174,1,blue,4,5,stable,FALSE,FALSE,,TRUE
175,1,blue,4,5,stable,FALSE,FALSE,,TRUE
176,1,blue,4,5,stable,FALSE,FALSE,,TRUE
177,1,blue,4,5,stable,FALSE,TRUE,,TRUE
178,1,blue,4,5,stable,FALSE,FALSE,,TRUE
179,1,blue,4,5,stable,FALSE,FALSE,,TRUE
180,1,blue,4,5,stable,FALSE,TRUE,,FALSE
181,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
182,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
183,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
184,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
185,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
186,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
187,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
188,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
189,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
190,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
191,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
192,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
193,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
194,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
195,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
196,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
197,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
198,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
199,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
200,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
201,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
202,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
203,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
204,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
205,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
206,1,blue,5,4,fluctuating,FALSE,FALSE,,TRUE
207,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
208,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
209,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
210,1,blue,5,4,fluctuating,FALSE,FALSE,,FALSE
211,1,blue,5,4,stable,FALSE,FALSE,,FALSE
212,1,blue,5,4,stable,FALSE,FALSE,,FALSE
213,1,blue,5,4,stable,FALSE,FALSE,,FALSE
214,1,blue,5,4,stable,FALSE,FALSE,,FALSE
215,1,blue,5,4,stable,FALSE,FALSE,,TRUE
216,1,blue,5,4,stable,FALSE,FALSE,,TRUE
217,1,blue,5,4,stable,FALSE,FALSE,,FALSE
218,1,blue,5,4,stable,FALSE,FALSE,,FALSE
219,1,blue,5,4,stable,FALSE,FALSE,,FALSE
220,1,blue,5,4,stable,FALSE,FALSE,,TRUE
221,1,blue,5,4,stable,FALSE,FALSE,,TRUE
222,1,blue,5,4,stable,FALSE,FALSE,,FALSE
223,1,blue,5,4,stable,FALSE,FALSE,,FALSE
224,1,blue,5,4,stable,FALSE,FALSE,,FALSE
225,1,blue,5,4,stable,FALSE,FALSE,,TRUE
226,1,blue,5,4,stable,FALSE,FALSE,,FALSE
227,1,blue,5,4,stable,FALSE,FALSE,,FALSE
228,1,blue,5,4,stable,FALSE,FALSE,,TRUE
229,1,blue,5,4,stable,FALSE,FALSE,,FALSE
230,1,blue,5,4,stable,FALSE,FALSE,,TRUE
231,1,blue,5,4,stable,FALSE,FALSE,,TRUE
232,1,blue,5,4,stable,FALSE,FALSE,,FALSE
233,1,blue,5,4,stable,FALSE,FALSE,,TRUE
234,1,blue,5,4,stable,FALSE,FALSE,,TRUE
235,1,blue,5,4,stable,FALSE,FALSE,,FALSE
236,1,blue,5,4,stable,FALSE,FALSE,,FALSE
237,1,blue,5,4,stable,FALSE,FALSE,,FALSE
238,1,blue,5,4,stable,FALSE,FALSE,,FALSE
239,1,blue,5,4,stable,FALSE,FALSE,,FALSE
240,1,blue,5,4,stable,FALSE,FALSE,,TRUE
241,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
242,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
243,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
244,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
245,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
246,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
247,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
248,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
249,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
250,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
251,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
252,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
253,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
254,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
255,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
256,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
257,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
258,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
259,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
260,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
261,2,green,1,20,fluctuating,TRUE,FALSE,Extra 5 beetles added,FALSE
262,2,green,1,20,fluctuating,TRUE,FALSE,Extra 5 beetles added,FALSE
263,2,green,1,20,fluctuating,TRUE,FALSE,Extra 5 beetles added,FALSE
264,2,green,1,20,fluctuating,TRUE,FALSE,Extra 5 beetles added,FALSE
265,2,green,1,20,fluctuating,TRUE,FALSE,Extra 5 beetles added,TRUE
266,2,green,1,20,fluctuating,TRUE,FALSE,Extra 5 beetles added,TRUE
267,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
268,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
269,2,green,1,20,fluctuating,FALSE,FALSE,,TRUE
270,2,green,1,20,fluctuating,FALSE,FALSE,,FALSE
271,2,green,1,20,stable,FALSE,FALSE,,TRUE
272,2,green,1,20,stable,FALSE,FALSE,,TRUE
273,2,green,1,20,stable,FALSE,FALSE,,FALSE
274,2,green,1,20,stable,FALSE,FALSE,,TRUE
275,2,green,1,20,stable,FALSE,FALSE,,TRUE
276,2,green,1,20,stable,FALSE,FALSE,,FALSE
277,2,green,1,20,stable,FALSE,FALSE,,TRUE
278,2,green,1,20,stable,FALSE,FALSE,,TRUE
279,2,green,1,20,stable,FALSE,FALSE,,FALSE
280,2,green,1,20,stable,TRUE,FALSE,No census for generation 1,TRUE
281,2,green,1,20,stable,FALSE,FALSE,,FALSE
282,2,green,1,20,stable,FALSE,FALSE,,FALSE
283,2,green,1,20,stable,FALSE,FALSE,,TRUE
284,2,green,1,20,stable,FALSE,FALSE,,TRUE
285,2,green,1,20,stable,FALSE,FALSE,,TRUE
286,2,green,1,20,stable,FALSE,FALSE,,FALSE
287,2,green,1,20,stable,FALSE,FALSE,,TRUE
288,2,green,1,20,stable,FALSE,FALSE,,FALSE
289,2,green,1,20,stable,FALSE,FALSE,,TRUE
290,2,green,1,20,stable,FALSE,FALSE,,FALSE
291,2,green,1,20,stable,FALSE,FALSE,,TRUE
292,2,green,1,20,stable,FALSE,FALSE,,TRUE
293,2,green,1,20,stable,FALSE,FALSE,,TRUE
294,2,green,1,20,stable,FALSE,FALSE,,FALSE
295,2,green,1,20,stable,FALSE,FALSE,,FALSE
296,2,green,1,20,stable,FALSE,FALSE,,TRUE
297,2,green,1,20,stable,FALSE,FALSE,,TRUE
298,2,green,1,20,stable,FALSE,FALSE,,FALSE
299,2,green,1,20,stable,FALSE,FALSE,,TRUE
300,2,green,1,20,stable,FALSE,FALSE,,FALSE
301,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
302,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
303,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
304,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
305,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
306,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
307,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
308,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
309,2,green,2,10,fluctuating,FALSE,TRUE,,TRUE
310,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
311,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
312,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
313,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
314,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
315,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
316,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
317,2,green,2,10,fluctuating,FALSE,TRUE,,TRUE
318,2,green,2,10,fluctuating,FALSE,TRUE,,TRUE
319,2,green,2,10,fluctuating,FALSE,TRUE,,TRUE
320,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
321,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
322,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
323,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
324,2,green,2,10,fluctuating,FALSE,FALSE,,FALSE
325,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
326,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
327,2,green,2,10,fluctuating,FALSE,FALSE,,TRUE
328,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
329,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
330,2,green,2,10,fluctuating,FALSE,TRUE,,FALSE
331,2,green,2,10,stable,FALSE,FALSE,,FALSE
332,2,green,2,10,stable,FALSE,FALSE,,TRUE
333,2,green,2,10,stable,FALSE,FALSE,,FALSE
334,2,green,2,10,stable,FALSE,FALSE,,TRUE
335,2,green,2,10,stable,FALSE,FALSE,,TRUE
336,2,green,2,10,stable,FALSE,FALSE,,FALSE
337,2,green,2,10,stable,FALSE,TRUE,,TRUE
338,2,green,2,10,stable,FALSE,TRUE,,FALSE
339,2,green,2,10,stable,FALSE,TRUE,,FALSE
340,2,green,2,10,stable,FALSE,TRUE,,TRUE
341,2,green,2,10,stable,FALSE,FALSE,,FALSE
342,2,green,2,10,stable,FALSE,FALSE,,FALSE
343,2,green,2,10,stable,FALSE,FALSE,,TRUE
344,2,green,2,10,stable,FALSE,FALSE,,FALSE
345,2,green,2,10,stable,FALSE,FALSE,,FALSE
346,2,green,2,10,stable,FALSE,FALSE,,FALSE
347,2,green,2,10,stable,FALSE,TRUE,,TRUE
348,2,green,2,10,stable,FALSE,TRUE,,FALSE
349,2,green,2,10,stable,FALSE,TRUE,,TRUE
350,2,green,2,10,stable,FALSE,TRUE,,FALSE
351,2,green,2,10,stable,FALSE,FALSE,,FALSE
352,2,green,2,10,stable,FALSE,FALSE,,FALSE
353,2,green,2,10,stable,FALSE,FALSE,,FALSE
354,2,green,2,10,stable,FALSE,FALSE,,TRUE
355,2,green,2,10,stable,FALSE,FALSE,,FALSE
356,2,green,2,10,stable,FALSE,FALSE,,FALSE
357,2,green,2,10,stable,FALSE,FALSE,,TRUE
358,2,green,2,10,stable,FALSE,TRUE,,TRUE
359,2,green,2,10,stable,FALSE,TRUE,,FALSE
360,2,green,2,10,stable,FALSE,TRUE,,FALSE
361,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
362,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
363,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
364,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
365,2,green,4,5,fluctuating,FALSE,TRUE,,FALSE
366,2,green,4,5,fluctuating,FALSE,TRUE,,FALSE
367,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
368,2,green,4,5,fluctuating,FALSE,TRUE,,FALSE
369,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
370,2,green,4,5,fluctuating,FALSE,TRUE,,FALSE
371,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
372,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
373,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
374,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
375,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
376,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
377,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
378,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
379,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
380,2,green,4,5,fluctuating,FALSE,TRUE,,FALSE
381,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
382,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
383,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
384,2,green,4,5,fluctuating,FALSE,FALSE,,FALSE
385,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
386,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
387,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
388,2,green,4,5,fluctuating,FALSE,TRUE,,FALSE
389,2,green,4,5,fluctuating,FALSE,FALSE,,TRUE
390,2,green,4,5,fluctuating,FALSE,TRUE,,TRUE
391,2,green,4,5,stable,FALSE,FALSE,,FALSE
392,2,green,4,5,stable,FALSE,FALSE,,TRUE
393,2,green,4,5,stable,FALSE,FALSE,,TRUE
394,2,green,4,5,stable,FALSE,FALSE,,FALSE
395,2,green,4,5,stable,FALSE,FALSE,,TRUE
396,2,green,4,5,stable,FALSE,FALSE,,TRUE
397,2,green,4,5,stable,FALSE,TRUE,,TRUE
398,2,green,4,5,stable,FALSE,TRUE,,FALSE
399,2,green,4,5,stable,FALSE,FALSE,,TRUE
400,2,green,4,5,stable,FALSE,TRUE,,TRUE
401,2,green,4,5,stable,FALSE,FALSE,,FALSE
402,2,green,4,5,stable,FALSE,FALSE,,FALSE
403,2,green,4,5,stable,FALSE,FALSE,,FALSE
404,2,green,4,5,stable,FALSE,FALSE,,FALSE
405,2,green,4,5,stable,FALSE,FALSE,,TRUE
406,2,green,4,5,stable,FALSE,FALSE,,TRUE
407,2,green,4,5,stable,FALSE,FALSE,,TRUE
408,2,green,4,5,stable,FALSE,FALSE,,TRUE
409,2,green,4,5,stable,FALSE,TRUE,,TRUE
410,2,green,4,5,stable,FALSE,TRUE,,TRUE
411,2,green,4,5,stable,FALSE,FALSE,,TRUE
412,2,green,4,5,stable,FALSE,FALSE,,TRUE
413,2,green,4,5,stable,FALSE,FALSE,,FALSE
414,2,green,4,5,stable,FALSE,FALSE,,FALSE
415,2,green,4,5,stable,FALSE,FALSE,,TRUE
416,2,green,4,5,stable,FALSE,FALSE,,TRUE
417,2,green,4,5,stable,FALSE,TRUE,,TRUE
418,2,green,4,5,stable,FALSE,TRUE,,TRUE
419,2,green,4,5,stable,FALSE,FALSE,,FALSE
420,2,green,4,5,stable,FALSE,TRUE,,TRUE
421,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
422,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
423,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
424,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
425,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
426,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
427,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
428,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
429,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
430,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
431,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
432,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
433,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
434,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
435,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
436,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
437,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
438,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
439,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
440,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
441,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
442,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
443,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
444,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
445,2,green,5,4,fluctuating,FALSE,FALSE,,TRUE
446,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
447,2,green,5,4,fluctuating,FALSE,FALSE,,FALSE
